Distance,High (GFP),High (TS1),High(TS2),Low (GFP),Low (TS1),Low (TS2)
1.171042761,0.943400429,0.677530717,0.727133005,0.925153864,0.670194059,0.678572114
1.173043261,0.942974135,0.676801826,0.727927067,0.925354756,0.669459932,0.679599275
1.175043761,0.942545535,0.676074625,0.728722648,0.925553968,0.66872646,0.680626904
1.177044261,0.942115827,0.675348592,0.729518995,0.925757778,0.667993939,0.681654477
1.179044761,0.941685805,0.674623345,0.730315514,0.925963072,0.667261576,0.682682561
1.181045261,0.941255136,0.673898184,0.731111727,0.926169417,0.666529693,0.683711904
1.183045761,0.940823573,0.673173481,0.731909447,0.926373652,0.665799241,0.684740006
1.185046262,0.940389874,0.672449815,0.732707426,0.926577828,0.665069061,0.685768153
1.187046762,0.939952983,0.671726351,0.733505504,0.926780989,0.664340088,0.686796303
1.189047262,0.93951438,0.671002853,0.734303546,0.926982942,0.663611692,0.687824643
1.191047762,0.939075238,0.6702796,0.735101947,0.927184687,0.662884236,0.688853947
1.193048262,0.938634292,0.669557717,0.735900401,0.927387447,0.662157569,0.689882325
1.195048762,0.938191089,0.668836283,0.736701089,0.927590626,0.661431079,0.690911074
1.197049262,0.937746367,0.668115804,0.7375019,0.927796487,0.660704719,0.691941574
1.199049762,0.937301583,0.667395985,0.738302781,0.928002014,0.659979501,0.692971877
1.201050263,0.936855052,0.666676682,0.739104709,0.928207477,0.659255181,0.694001786
1.203050763,0.936405674,0.665958534,0.739907898,0.928412672,0.65853142,0.695031994
1.205051263,0.935954048,0.665240176,0.740712287,0.9286166,0.657808089,0.696064029
1.207051763,0.93550056,0.664521844,0.741515742,0.928820098,0.65708564,0.697095057
1.209052263,0.93504596,0.6638041,0.742319408,0.929024442,0.656364588,0.698125705
1.211052763,0.934590027,0.663086813,0.743123171,0.929229856,0.655644778,0.69915515
1.213053263,0.934132109,0.66237113,0.743928766,0.929434925,0.654925745,0.700184004
1.215053763,0.933672595,0.661656142,0.744734548,0.929640949,0.654207042,0.701214556
1.217054264,0.933212481,0.6609417,0.745541063,0.929846686,0.653487844,0.702247185
1.219054764,0.932750108,0.660228274,0.746347331,0.930052442,0.652768966,0.703279763
